E-MTAB-4377.RNA49	.	y	Retina	Retina_Adult.Tissue	old
E-MTAB-4377.RNA5	.	y	Retina	Retina_Adult.Tissue	old
E-MTAB-4377.RNA50	.	y	Retina	Retina_Adult.Tissue	old
E-MTAB-4377.RNA6	.	y	Retina	Retina_Adult.Tissue	old
E-MTAB-4377.RNA7	.	y	Retina	Retina_Adult.Tissue	old
E-MTAB-4377.RNA8	.	y	Retina	Retina_Adult.Tissue	old
E-MTAB-4377.RNA9	.	y	Retina	Retina_Adult.Tissue	old
SRS1706078	SRR4280471	y	RPE	RPE_Cell.Line	old
SRS1955479	SRR5225761	y	Retina	Retina_Adult.Tissue	old
SRS1314629	SRR3194179	n	RPE	RPE_Cell.Line	old
SRS1314627	SRR3194180	n	RPE	RPE_Cell.Line	old
SRS1314626	SRR3194181	n	RPE	RPE_Cell.Line	old
SRS1314622	SRR3194185	n	RPE	RPE_Cell.Line	old
SRS1314621	SRR3194186	n	RPE	RPE_Cell.Line	old
SRS1314620	SRR3194187	n	RPE	RPE_Cell.Line	old
SRS1837420	SRR5077529	n	RPE	RPE_Stem.Cell.Line	old
SRS1837418	SRR5077527	n	RPE	RPE_Stem.Cell.Line	old
SRS1837416	SRR5077525	n	Retina	Retina_Stem.Cell.Line	old
SRS1305240	SRR3170206	y	Cornea	Cornea_Adult.Tissue	old
SRS1305241	SRR3170205	y	Cornea	Cornea_Adult.Tissue	old
SRS1305242	SRR3170204	y	Cornea	Cornea_Adult.Tissue	old
SRS1305243	SRR3170203	y	Cornea	Cornea_Adult.Tissue	old
SRS1305244	SRR3170202	y	Cornea	Cornea_Adult.Tissue	old
SRS1305245	SRR3170201	y	Cornea	Cornea_Adult.Tissue	old
SRS1305246	SRR3170200,SRR3170198,SRR3170199	y	Cornea	Cornea_Adult.Tissue	old
SRS1305247	SRR3170196,SRR3170195,SRR3170197	y	Cornea	Cornea_Adult.Tissue	old
SRS1305248	SRR3170194,SRR3170192,SRR3170193	y	Cornea	Cornea_Adult.Tissue	old
SRS1305249	SRR3170191	y	Cornea	Cornea_Adult.Tissue	old
SRS1305250	SRR3170186,SRR3170184,SRR3170185,SRR3170183	y	Cornea	Cornea_Adult.Tissue	old
SRS1305251	SRR3170188,SRR3170190,SRR3170189,SRR3170187	y	Cornea	Cornea_Adult.Tissue	old
SRS1305252	SRR3170182	y	Cornea	Cornea_Adult.Tissue	old
SRS1305253	SRR3170181	y	Cornea	Cornea_Adult.Tissue	old
SRS1305254	SRR3170180	y	Cornea	Cornea_Adult.Tissue	old
SRS1305255	SRR3170179	y	Cornea	Cornea_Adult.Tissue	old
SRS1305256	SRR3170178	y	Cornea	Cornea_Adult.Tissue	old
SRS1305273	SRR3170130,SRR3170131,SRR3170132	y	Cornea	Cornea_Adult.Tissue	old
SRS1305275	SRR3170129,SRR3170127,SRR3170128	y	Cornea	Cornea_Adult.Tissue	old
SRS1305276	SRR3170126,SRR3170123,SRR3170125,SRR3170124	y	Cornea	Cornea_Adult.Tissue	old
SRS1305277	SRR3170121,SRR3170119,SRR3170120,SRR3170122	y	Cornea	Cornea_Adult.Tissue	old
SRS1305278	SRR3170117,SRR3170116,SRR3170118,SRR3170115,SRR3170114,SRR3170113	y	Cornea	Cornea_Adult.Tissue	old
SRS1305279	SRR3170111,SRR3170112,SRR3170110	y	Cornea	Cornea_Adult.Tissue	old
SRS1305280	SRR3170108,SRR3170109,SRR3170107	y	Cornea	Cornea_Adult.Tissue	old
SRS1305281	SRR3170105,SRR3170104,SRR3170102,SRR3170106,SRR3170103	y	Cornea	Cornea_Adult.Tissue	old
SRS1773864	SRR4787042	y	RPE	RPE_Cell.Line	old
SRS1955510	SRR5225792	y	RPE	RPE_Adult.Tissue	old
SRS1955508	SRR5225790	y	RPE	RPE_Adult.Tissue	old
SRS1955506	SRR5225788	y	RPE	RPE_Adult.Tissue	old
SRS1955504	SRR5225786	y	RPE	RPE_Adult.Tissue	old
SRS1955502	SRR5225784	y	RPE	RPE_Adult.Tissue	old
SRS1955500	SRR5225782	y	RPE	RPE_Adult.Tissue	old
SRS1955498	SRR5225780	y	RPE	RPE_Adult.Tissue	old
SRS1955496	SRR5225778	y	RPE	RPE_Adult.Tissue	old
SRS1955494	SRR5225776	y	RPE	RPE_Adult.Tissue	old
SRS1955492	SRR5225774	y	RPE	RPE_Adult.Tissue	old
SRS1955490	SRR5225772	y	RPE	RPE_Adult.Tissue	old
SRS1955489	SRR5225770	y	RPE	RPE_Adult.Tissue	old
SRS1955486	SRR5225768	y	RPE	RPE_Adult.Tissue	old
SRS1955485	SRR5225766	y	RPE	RPE_Adult.Tissue	old
SRS1955482	SRR5225764	y	RPE	RPE_Adult.Tissue	old
SRS1955481	SRR5225762	y	RPE	RPE_Adult.Tissue	old
SRS1955509	SRR5225791	y	Retina	Retina_Adult.Tissue	old
SRS1955507	SRR5225789	y	Retina	Retina_Adult.Tissue	old
SRS1955505	SRR5225787	y	Retina	Retina_Adult.Tissue	old
SRS1955503	SRR5225785	y	Retina	Retina_Adult.Tissue	old
SRS1955501	SRR5225783	y	Retina	Retina_Adult.Tissue	old
SRS1955499	SRR5225781	y	Retina	Retina_Adult.Tissue	old
SRS1955497	SRR5225779	y	Retina	Retina_Adult.Tissue	old
SRS1955495	SRR5225777	y	Retina	Retina_Adult.Tissue	old
SRS1955493	SRR5225775	y	Retina	Retina_Adult.Tissue	old
SRS1955491	SRR5225773	y	Retina	Retina_Adult.Tissue	old
SRS1955488	SRR5225771	y	Retina	Retina_Adult.Tissue	old
SRS1955487	SRR5225769	y	Retina	Retina_Adult.Tissue	old
SRS1955484	SRR5225767	y	Retina	Retina_Adult.Tissue	old
SRS1955483	SRR5225765	y	Retina	Retina_Adult.Tissue	old
SRS1955480	SRR5225763	y	Retina	Retina_Adult.Tissue	old
SRS1936981	SRR5197972	y	Retinal.Endothelium	Retinal.Endothelium_Adult.Tissue	old
SRS1936982	SRR5197973	y	Retinal.Endothelium	Retinal.Endothelium_Adult.Tissue	old
SRS1936992	SRR5197983	y	Retinal.Endothelium	Retinal.Endothelium_Adult.Tissue	old
SRS1936993	SRR5197984	y	Retinal.Endothelium	Retinal.Endothelium_Adult.Tissue	old
SRS1749420	SRR4427916	y	RPE	RPE_Cell.Line	old
SRS1749419	SRR4427915	y	RPE	RPE_Cell.Line	old
SRS1749418	SRR4427914	y	RPE	RPE_Cell.Line	old
SRS1700699	SRR4253065	y	Retina	Retina_Fetal.Tissue	old
SRS1700700	SRR4253066	y	Retina	Retina_Fetal.Tissue	old
SRS1700701	SRR4253067	y	Retina	Retina_Fetal.Tissue	old
SRS1700702	SRR4253068	y	Retina	Retina_Fetal.Tissue	old
SRS1700703	SRR4253069	y	Retina	Retina_Fetal.Tissue	old
SRS1700704	SRR4253070	y	Retina	Retina_Fetal.Tissue	old
SRS1700705	SRR4253071	y	Retina	Retina_Fetal.Tissue	old
SRS1700706	SRR4253072	y	Retina	Retina_Fetal.Tissue	old
SRS1478833	SRR3619906	n	Cornea	Cornea_Adult.Tissue	old
SRS1478835	SRR3619907	n	Cornea	Cornea_Adult.Tissue	old
SRS1478834	SRR3619908	n	Cornea	Cornea_Stem.Cell.Line	old
SRS1478838	SRR3619909	n	Cornea	Cornea_Stem.Cell.Line	old
SRS1478836	SRR3619910	n	Cornea	Cornea_Stem.Cell.Line	old
SRS1478837	SRR3619911	n	Cornea	Cornea_Stem.Cell.Line	old
SRS2165871	SRR5508027	n	RPE	RPE_Cell.Line	old
SRS2165873	SRR5508029	n	RPE	RPE_Cell.Line	old
SRS1700197	SRR4252548,SRR5535471,SRR5535778,SRR5535934	n	RPE	RPE_Cell.Line	old
SRS2338621	SRR5807529,SRR5807530,SRR5807527,SRR5807528	y	RPE	RPE_Cell.Line	old
SRS2338623	SRR5807534,SRR5807533,SRR5807532,SRR5807531	y	RPE	RPE_Cell.Line	old
SRS2338622	SRR5807535,SRR5807538,SRR5807536,SRR5807537	y	RPE	RPE_Cell.Line	old
SRS1817764	SRR5052462	n	Cornea	Cornea_Adult.Tissue	old
SRS1817763	SRR5052461	n	Cornea	Cornea_Adult.Tissue	old
SRS1817754	SRR5052452	n	Cornea	Cornea_Adult.Tissue	old
SRS1817753	SRR5052451	n	Cornea	Cornea_Adult.Tissue	old
SRS1817752	SRR5052450	n	Cornea	Cornea_Adult.Tissue	old
SRS2240233	SRR5629611,SRR5629612	y	RPE	RPE_Cell.Line	old
SRS2240232	SRR5629610,SRR5629609	y	RPE	RPE_Cell.Line	old
SRS2240225	SRR5629595,SRR5629596	y	RPE	RPE_Cell.Line	old
SRS2240224	SRR5629594,SRR5629593	y	RPE	RPE_Cell.Line	old
SRS2240217	SRR5629579,SRR5629580	y	RPE	RPE_Cell.Line	old
SRS2240216	SRR5629578,SRR5629577	y	RPE	RPE_Cell.Line	old
SRS2305607	SRR5740338	y	RPE	RPE_Fetal.Tissue	old
SRS2305609	SRR5740337	y	RPE	RPE_Stem.Cell.Line	old
SRS2511376	SRR6032665	y	Retina	Retina_Stem.Cell.Line	old
SRS2511377	SRR6032666	y	Retina	Retina_Stem.Cell.Line	old
SRS2511378	SRR6032667	y	Retina	Retina_Stem.Cell.Line	old
SRS2511379	SRR6032668	y	Retina	Retina_Stem.Cell.Line	old
SRS2511380	SRR6032669	y	Retina	Retina_Stem.Cell.Line	old
SRS2511382	SRR6032671	y	Retina	Retina_Stem.Cell.Line	old
SRS2563735	SRR6130358	n	Lens	Lens_Stem.Cell.Line	old
SRS2563736	SRR6130515	n	Lens	Lens_Stem.Cell.Line	old
SRS2563737	SRR6130516	y	Lens	Lens_Stem.Cell.Line	old
SRS2563738	SRR6130517	y	Lens	Lens_Stem.Cell.Line	old
SRS2563739	SRR6130689	y	Lens	Lens_Stem.Cell.Line	old
SRS2563740	SRR6130690	y	Lens	Lens_Stem.Cell.Line	old
SRS2445756	SRR5952202	n	RPE	RPE_Adult.Tissue	old
SRS2445757	SRR5952203	n	RPE	RPE_Adult.Tissue	old
SRS2445758	SRR5952204	n	RPE	RPE_Adult.Tissue	old
SRS2445759	SRR5952205	n	RPE	RPE_Adult.Tissue	old
SRS2445740	SRR5952186	n	RPE	RPE_Cell.Line	old
SRS2445741	SRR5952187	n	RPE	RPE_Cell.Line	old
SRS2445742	SRR5952188	n	RPE	RPE_Cell.Line	old
SRS2445743	SRR5952189	n	RPE	RPE_Cell.Line	old
SRS2445744	SRR5952190	n	RPE	RPE_Cell.Line	old
SRS2445745	SRR5952191	n	RPE	RPE_Cell.Line	old
SRS2445746	SRR5952192	n	RPE	RPE_Cell.Line	old
SRS2445747	SRR5952193	n	RPE	RPE_Cell.Line	old
SRS2445748	SRR5952194	n	RPE	RPE_Cell.Line	old
SRS2445749	SRR5952195	n	RPE	RPE_Cell.Line	old
SRS2445750	SRR5952196	n	RPE	RPE_Cell.Line	old
SRS2445751	SRR5952197	n	RPE	RPE_Cell.Line	old
SRS2445752	SRR5952198	n	RPE	RPE_Cell.Line	old
SRS2445753	SRR5952199	n	RPE	RPE_Cell.Line	old
SRS2445754	SRR5952200	n	RPE	RPE_Cell.Line	old
SRS2445755	SRR5952201	n	RPE	RPE_Cell.Line	old
SRS2445760	SRR5952206	n	RPE	RPE_Cell.Line	old
ERS1625863	ERR1895596,ERR1895595	y	RPE	RPE_Cell.Line	old
ERS1625862	ERR1895594,ERR1895593	y	RPE	RPE_Cell.Line	old
ERS1625861	ERR1895592,ERR1895591	y	RPE	RPE_Cell.Line	old
SRS2582171	SRR6158807	y	Retina	Retina_Fetal.Tissue	old
SRS2582155	SRR6158812	y	Retina	Retina_Fetal.Tissue	old
SRS2582163	SRR6158820	y	Retina	Retina_Fetal.Tissue	old
SRS2582153	SRR6158810	y	Retina	Retina_Fetal.Tissue	old
SRS2582149	SRR6158805	y	Retina	Retina_Fetal.Tissue	old
SRS2582161	SRR6158818	y	Retina	Retina_Fetal.Tissue	old
SRS2582156	SRR6158813	y	Retina	Retina_Fetal.Tissue	old
SRS2582162	SRR6158819	y	Retina	Retina_Fetal.Tissue	old
SRS2582160	SRR6158817	y	Retina	Retina_Fetal.Tissue	old
SRS2582158	SRR6158815	y	Retina	Retina_Fetal.Tissue	old
SRS2582147	SRR6158803	y	Retina	Retina_Fetal.Tissue	old
SRS2582154	SRR6158811	y	Retina	Retina_Fetal.Tissue	old
SRS2582170	SRR6158827	y	Retina	Retina_Fetal.Tissue	old
SRS2582169	SRR6158826	y	Retina	Retina_Fetal.Tissue	old
SRS2582157	SRR6158814	y	Retina	Retina_Fetal.Tissue	old
SRS2582151	SRR6158808	y	Retina	Retina_Fetal.Tissue	old
SRS2582164	SRR6158821	y	Retina	Retina_Fetal.Tissue	old
SRS2582165	SRR6158822	y	Retina	Retina_Fetal.Tissue	old
SRS2582159	SRR6158816	y	Retina	Retina_Fetal.Tissue	old
SRS2582166	SRR6158823	y	Retina	Retina_Fetal.Tissue	old
SRS2582168	SRR6158825	y	Retina	Retina_Fetal.Tissue	old
SRS2582167	SRR6158824	y	Retina	Retina_Fetal.Tissue	old
SRS2582148	SRR6158804	y	Retina	Retina_Fetal.Tissue	old
SRS2582152	SRR6158809	y	Retina	Retina_Fetal.Tissue	old
SRS2582150	SRR6158806	y	Retina	Retina_Fetal.Tissue	old
SRS3729711	SRR7773397	n	Retina	Retina_Organoid	GEO
SRS3729712	SRR7773398	n	Retina	Retina_Organoid	GEO
SRS3729713	SRR7773399	n	Retina	Retina_Organoid	GEO
SRS3729714	SRR7773400	n	Retina	Retina_Organoid	GEO
SRS3729715	SRR7773401	n	Retina	Retina_Organoid	GEO
SRS3729716	SRR7773402	n	Retina	Retina_Organoid	GEO
SRS3729717	SRR7773403	n	Retina	Retina_Organoid	GEO
SRS3729718	SRR7773404	n	Retina	Retina_Organoid	GEO
SRS3729719	SRR7773405	n	Retina	Retina_Organoid	GEO
SRS3729720	SRR7773406	n	Retina	Retina_Organoid	GEO
SRS3729721	SRR7773407	n	Retina	Retina_Organoid	GEO
SRS3729722	SRR7773408	n	Retina	Retina_Organoid	GEO
SRS3729723	SRR7773409	n	Retina	Retina_Organoid	GEO
SRS3729724	SRR7773410	n	Retina	Retina_Organoid	GEO
SRS3729725	SRR7773411	n	Retina	Retina_Organoid	GEO
SRS3729726	SRR7773412	n	Retina	Retina_Organoid	GEO
SRS3729727	SRR7773413	n	Retina	Retina_Organoid	GEO
SRS3729728	SRR7773414	n	Retina	Retina_Organoid	GEO
SRS3729729	SRR7773415	n	Retina	Retina_Organoid	GEO
SRS3729730	SRR7773416	n	Retina	Retina_Organoid	GEO
SRS3729731	SRR7773417	n	Retina	Retina_Organoid	GEO
SRS3729732	SRR7773418	n	Retina	Retina_Organoid	GEO
SRS3729733	SRR7773419	n	Retina	Retina_Organoid	GEO
SRS3729734	SRR7773420	n	Retina	Retina_Organoid	GEO
SRS3729735	SRR7773421	n	Retina	Retina_Organoid	GEO
SRS3729736	SRR7773422	n	Retina	Retina_Organoid	GEO
SRS3729737	SRR7773423	n	Retina	Retina_Organoid	GEO
SRS3729738	SRR7773424	n	Retina	Retina_Organoid	GEO
SRS3729739	SRR7773425	n	Retina	Retina_Organoid	GEO
SRS3729740	SRR7773426	n	Retina	Retina_Organoid	GEO
SRS3729741	SRR7773427	n	Retina	Retina_Organoid	GEO
